"","X","kemudahan_navigasi","atraktif_desain","mudah_digunakan","fitur_berfungsi","antarmuka_jelas_dan_menarik","mudah_dipelajari","efisien","akses_standar","mudah_diingat","keamanan","bantuan_dan_dukungan","kepuasan_dan_kesan"
"1",1,8,3,18.9629629700741,27,2.5,2.666666667,2,9,2.666666667,9,4,27
"3",3,15.625,2.333333333,27,27,3,3.333333333,2,4,2.333333333,4,16,27
"4",4,64,3.333333333,37.0370370259259,42.875,2.5,3.333333333,2,9,3,9,9,64
"5",5,27,3.333333333,27,64,2.5,2.666666667,1.5,9,3.333333333,1,2.25,8
"14",14,27,2.666666667,18.9629629700741,27,3,3.666666667,2.5,9,3.666666667,4,4,27
"15",15,64,3.333333333,64,64,3,4,3,9,4,4,16,27
"16",16,42.875,3.666666667,64,64,3.5,3.333333333,3,16,4,9,9,64
"21",21,27,3,64,27,2.5,3,2.5,9,3,9,9,27
"23",23,42.875,2.666666667,8,15.625,2,2,1.5,4,3,16,4,27
"24",24,42.875,3,49.2962963097407,27,3,3.333333333,2,9,4,4,16,27
"25",25,27,2.333333333,64,27,2,4,3,9,4,9,9,27
"27",27,27,3.333333333,27,27,2.5,3,2,9,3,9,9,27
"29",29,27,2.666666667,37.0370370259259,27,2.5,3,2,9,3,4,4,27
"30",30,15.625,2.666666667,12.7037036982593,15.625,2,3,2.5,9,3,9,4,27
"31",31,15.625,2,27,27,1,3,2,1,3,1,16,1
"33",33,42.875,3.333333333,27,64,3.5,3.666666667,3,9,3.333333333,9,9,64
"34",34,27,2.666666667,27,27,3,2.333333333,2,9,3,4,4,27
"35",35,27,3.333333333,12.7037036982593,8,3,3,3,16,3,9,6.25,27
"37",37,42.875,2.666666667,27,64,3,3.333333333,2.5,9,3,9,12.25,64
"38",38,27,3.333333333,12.7037036982593,27,3.5,3,3,9,3.333333333,9,4,27
"41",41,64,4,49.2962963097407,42.875,3.5,3.333333333,3,16,3.666666667,16,9,27
"47",47,27,2.666666667,18.9629629700741,27,3,3,2,9,3,4,9,27
"48",48,1,2,12.7037036982593,3.375,3,2.333333333,3.5,4,2,9,6.25,1
"49",49,27,2.666666667,37.0370370259259,42.875,1.5,2.333333333,2,9,2,4,4,27
"50",50,64,4,64,64,4,4,3,16,4,16,16,64
"52",52,27,3,64,64,4,3.333333333,2,9,3,9,9,27
"53",53,27,2.333333333,27,27,2,3,1.5,9,2.666666667,9,9,8
"54",54,15.625,2.333333333,27,27,2.5,2.666666667,2,4,2.666666667,1,4,27
"55",55,27,3.666666667,27,42.875,3,2.666666667,2,9,3.333333333,9,9,27
"56",56,27,4,64,64,2.5,3.333333333,2,9,3.333333333,9,9,27
"57",57,42.875,3,64,42.875,2.5,3.666666667,3,16,2,9,12.25,64
"59",59,27,3,49.2962963097407,27,2,3.333333333,4,9,3.333333333,16,9,64
"60",60,42.875,3.333333333,64,27,3.5,4,3,9,4,9,16,64
"61",61,27,2.333333333,4.62962963240741,15.625,1,3,2,9,3,4,4,8
"62",62,42.875,2.666666667,37.0370370259259,42.875,2,2.666666667,2,9,2.666666667,4,6.25,27
